CookerStat, GenerateAssetRegistry=0.042286, Initialize=0.655234, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_0, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=4.283648, FlushAsyncLoading=0.014368, FlushStreamingFunc=0.069384, BlockTillAllRequestsFinished=0.008211, ResetLoadersForSaveUnMarkAllObjects=2.682105, TagPackageExports=0.283279, BeginCacheForCookedPlatformData=0.002053, SerializeImports=1.003787, GatherLocalizableTextData=3.001507, MarkNames=0.031613, SerializeSummary=0.020526, SerializeNames=0.222519, SerializeGatherableTextData=0.009850, BuildExportMap=0.142872, SortExportsNonSeekfree=0.091143, SortExportsSeekfreeConstructor=0.057884, SortExportsSeekfreeInner=6.200083, SortExportsSeekfree=0.003282, BuildDependencyMap=0.035308, SerializeImportMap=0.028327, SerializeExportMap=0.013549, SerializeDependencyMap=0.006977, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.436410, SerializeExports=1.305129, SerializeBulkData=4.489742, MoveFile=3.894858, UnaccountedTime=0.182692, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_1, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=4.111625, FlushAsyncLoading=0.007801, FlushStreamingFunc=0.043109, BlockTillAllRequestsFinished=0.006568, ResetLoadersForSaveUnMarkAllObjects=2.066284, TagPackageExports=0.261519, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.796873, GatherLocalizableTextData=3.203496, MarkNames=0.036541, SerializeSummary=0.012316, SerializeNames=0.230726, SerializeGatherableTextData=0.009444, BuildExportMap=0.126448, SortExportsNonSeekfree=0.085805, SortExportsSeekfreeConstructor=0.048034, SortExportsSeekfreeInner=5.644612, SortExportsSeekfree=0.003282, BuildDependencyMap=0.034899, SerializeImportMap=0.031613, SerializeExportMap=0.013959, SerializeDependencyMap=0.006977, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.406031, SerializeExports=1.175396, SerializeBulkData=5.148668, MoveFile=4.705690, UnaccountedTime=0.153545, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_2, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=0.562858, FlushAsyncLoading=0.002466, FlushStreamingFunc=0.057474, BlockTillAllRequestsFinished=0.005748, ResetLoadersForSaveUnMarkAllObjects=2.118423, TagPackageExports=0.263162, BeginCacheForCookedPlatformData=0.001643, SerializeImports=0.778805, GatherLocalizableTextData=2.994940, MarkNames=0.035718, SerializeSummary=0.011086, SerializeNames=0.252895, SerializeGatherableTextData=0.010263, BuildExportMap=0.130557, SortExportsNonSeekfree=0.091553, SortExportsSeekfreeConstructor=0.056654, SortExportsSeekfreeInner=5.501740, SortExportsSeekfree=0.004105, BuildDependencyMap=0.040643, SerializeImportMap=0.027917, SerializeExportMap=0.013959, SerializeDependencyMap=0.007391, SerializeStringAssetReferenceMap=0.002053, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.470076, SerializeExports=1.239851, SerializeBulkData=4.708562, MoveFile=4.661351, UnaccountedTime=0.175714, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_3, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=0.565324, FlushAsyncLoading=0.002462, FlushStreamingFunc=0.042699, BlockTillAllRequestsFinished=0.004515, ResetLoadersForSaveUnMarkAllObjects=0.121113, TagPackageExports=0.279583, BeginCacheForCookedPlatformData=0.001643, SerializeImports=0.790715, GatherLocalizableTextData=3.040921, MarkNames=0.035718, SerializeSummary=0.012316, SerializeNames=0.243455, SerializeGatherableTextData=0.010673, BuildExportMap=0.132605, SortExportsNonSeekfree=0.092372, SortExportsSeekfreeConstructor=0.050910, SortExportsSeekfreeInner=5.420860, SortExportsSeekfree=0.003695, BuildDependencyMap=0.035308, SerializeImportMap=0.023399, SerializeExportMap=0.012729, SerializeDependencyMap=0.006977, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.449959, SerializeExports=1.205366, SerializeBulkData=4.601821, MoveFile=3.832046, UnaccountedTime=0.170376, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_4, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=0.557110, FlushAsyncLoading=0.002462, FlushStreamingFunc=0.052143, BlockTillAllRequestsFinished=0.004105, ResetLoadersForSaveUnMarkAllObjects=0.112489, TagPackageExports=0.487320, BeginCacheForCookedPlatformData=0.001643, SerializeImports=1.181964, GatherLocalizableTextData=5.913109, MarkNames=0.056654, SerializeSummary=0.014782, SerializeNames=0.316940, SerializeGatherableTextData=0.013959, BuildExportMap=0.144515, SortExportsNonSeekfree=0.097297, SortExportsSeekfreeConstructor=0.055015, SortExportsSeekfreeInner=5.393356, SortExportsSeekfree=0.003282, BuildDependencyMap=0.040233, SerializeImportMap=0.025865, SerializeExportMap=0.012726, SerializeDependencyMap=0.002876, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.458989, SerializeExports=1.259148, SerializeBulkData=4.321828, MoveFile=4.050866, UnaccountedTime=2.957582, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
SavePackageTransactionId256EADB34379C07A26D2F4BCDF24F7BD_5, Filename=../../../../../../Users/MaxLGilbert/Documents/Unreal Projects/interactive_story_arcs/InteractiveNarrative/Content/InteractiveStory/Levels/TestScene.umap, AutoPackageBackupDelegate=0.566967, FlushAsyncLoading=0.002872, FlushStreamingFunc=0.070207, BlockTillAllRequestsFinished=0.004925, ResetLoadersForSaveUnMarkAllObjects=0.138354, TagPackageExports=0.319406, BeginCacheForCookedPlatformData=0.001643, SerializeImports=0.888422, GatherLocalizableTextData=3.668237, MarkNames=0.038181, SerializeSummary=0.011906, SerializeNames=0.266444, SerializeGatherableTextData=0.010677, BuildExportMap=0.148207, SortExportsNonSeekfree=0.099763, SortExportsSeekfreeConstructor=0.052959, SortExportsSeekfreeInner=5.920500, SortExportsSeekfree=0.004515, BuildDependencyMap=0.045571, SerializeImportMap=0.024632, SerializeExportMap=0.013139, SerializeDependencyMap=0.003695, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.508256, SerializeExports=1.389291, SerializeBulkData=4.812844, MoveFile=3.959723, UnaccountedTime=0.136714, RunGuid=RunIDA361E42A4903736001620B94E3798AE9
